               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.021763,            0.010168,          0.00072876,             0.82314,             0.55502,             0.63639,             0.36186,            0.039507,            0.036545,           0.0094363,            0.008317,            0.008317,            0.008317
                  87,             0.02174,            0.010057,          0.00090728,             0.79138,             0.56863,             0.64179,             0.36246,            0.039539,            0.036618,            0.010695,           0.0082972,           0.0082972,           0.0082972
                  88,            0.022089,            0.010368,          0.00097517,             0.81405,             0.57881,              0.6573,             0.36357,            0.039682,            0.035144,           0.0094433,           0.0082774,           0.0082774,           0.0082774
                  89,            0.021432,            0.010432,          0.00088541,             0.82237,             0.57065,             0.65138,             0.36391,            0.040231,            0.035761,            0.010998,           0.0082576,           0.0082576,           0.0082576
                  90,            0.021908,           0.0099717,          0.00072508,             0.81489,             0.52696,             0.61749,             0.34664,            0.039631,             0.03687,            0.011787,           0.0082378,           0.0082378,           0.0082378
                  91,            0.021936,            0.009818,          0.00068782,             0.79749,             0.53852,             0.62735,             0.35166,            0.039184,             0.03641,            0.012888,            0.008218,            0.008218,            0.008218
                  92,            0.021849,            0.010192,           0.0010402,              0.7941,             0.57032,             0.65429,             0.36408,            0.038815,            0.034315,            0.012817,           0.0081982,           0.0081982,           0.0081982
                  93,            0.021894,           0.0099162,           0.0010576,             0.79563,             0.56631,             0.64072,             0.35598,            0.039313,            0.034884,            0.010233,           0.0081784,           0.0081784,           0.0081784
                  94,            0.021813,            0.010028,          0.00089427,             0.80549,             0.56428,             0.63309,             0.35473,            0.040387,            0.036464,            0.010765,           0.0081586,           0.0081586,           0.0081586
                  95,            0.021802,            0.010137,           0.0010444,             0.79147,             0.57175,             0.63775,             0.36291,            0.040979,            0.035223,            0.012889,           0.0081388,           0.0081388,           0.0081388
                  96,            0.021982,            0.010068,          0.00066798,             0.80668,             0.55758,             0.63733,             0.36076,            0.040566,            0.036235,           0.0097436,            0.008119,            0.008119,            0.008119
                  97,             0.02152,           0.0098838,          0.00076033,              0.7948,             0.53881,             0.62552,             0.35256,            0.040792,            0.037445,           0.0096316,           0.0080992,           0.0080992,           0.0080992
                  98,            0.021129,           0.0098994,          0.00074437,             0.80153,             0.56304,             0.63991,             0.36454,            0.040986,            0.036006,            0.013191,           0.0080794,           0.0080794,           0.0080794
                  99,            0.021385,           0.0099608,          0.00094772,             0.80909,             0.57662,             0.65545,             0.36916,            0.040853,            0.034766,            0.011713,           0.0080596,           0.0080596,           0.0080596
                 100,            0.021277,           0.0098361,          0.00076384,             0.82487,             0.53619,             0.63495,             0.35617,            0.041466,            0.034689,            0.012792,           0.0080398,           0.0080398,           0.0080398
